BillOfMaterialsID,ProductAssemblyID,ComponentID,StartDate,EndDate,UnitMeasureCode,BOMLevel,PerAssemblyQty,ModifiedDate
893,,749,May 26 2010 12:00AM,,EA ,0,1.00,May 12 2010 12:00AM
271,,750,Mar  4 2010 12:00AM,May  3 2010 12:00AM,EA ,0,1.00,May  3 2010 12:00AM
34,,750,May  4 2010 12:00AM,,EA ,0,1.00,Apr 20 2010 12:00AM
830,,751,May 26 2010 12:00AM,,EA ,0,1.00,May 12 2010 12:00AM
2074,,752,Jul  8 2010 12:00AM,,EA ,0,1.00,Jun 24 2010 12:00AM
1950,,753,Jun 19 2010 12:00AM,Aug 18 2010 12:00AM,EA ,0,1.00,Aug 18 2010 12:00AM
1761,,753,Aug 19 2010 12:00AM,,EA ,0,1.00,Aug  5 2010 12:00AM
3088,,754,Dec 15 2010 12:00AM,,EA ,0,1.00,Dec  1 2010 12:00AM
3351,,755,Dec 23 2010 12:00AM,,EA ,0,1.00,Dec  9 2010 12:00AM
3246,,756,Dec 23 2010 12:00AM,,EA ,0,1.00,Dec  9 2010 12:00AM
2760,,757,Sep 15 2010 12:00AM,,EA ,0,1.00,Sep  1 2010 12:00AM
2395,,758,Aug  5 2010 12:00AM,,EA ,0,1.00,Jul 22 2010 12:00AM
3087,,759,Dec 15 2010 12:00AM,,EA ,0,1.00,Dec  1 2010 12:00AM
3350,,760,Dec 23 2010 12:00AM,,EA ,0,1.00,Dec  9 2010 12:00AM
2822,,761,Sep 15 2010 12:00AM,,EA ,0,1.00,Sep  1 2010 12:00AM
3245,,762,Dec 23 2010 12:00AM,,EA ,0,1.00,Dec  9 2010 12:00AM
2759,,763,Sep 15 2010 12:00AM,,EA ,0,1.00,Sep  1 2010 12:00AM
2394,,764,Aug  5 2010 12:00AM,,EA ,0,1.00,Jul 22 2010 12:00AM
3341,,765,Dec 23 2010 12:00AM,,EA ,0,1.00,Dec  9 2010 12:00AM
2815,,766,Sep 15 2010 12:00AM,,EA ,0,1.00,Sep  1 2010 12:00AM
2449,,767,Aug  5 2010 12:00AM,,EA ,0,1.00,Jul 22 2010 12:00AM
2899,,768,Sep 15 2010 12:00AM,Nov 14 2010 12:00AM,EA ,0,1.00,Nov 14 2010 12:00AM
2738,,768,Nov 15 2010 12:00AM,,EA ,0,1.00,Nov  1 2010 12:00AM
2363,,769,Aug  5 2010 12:00AM,,EA ,0,1.00,Jul 22 2010 12:00AM
1265,,770,Jun  9 2010 12:00AM,,EA ,0,1.00,May 26 2010 12:00AM
