CurrencyRateID,CurrencyRateDate,FromCurrencyCode,ToCurrencyCode,AverageRate,EndOfDayRate,ModifiedDate
1,May 31 2011 12:00AM,USD,ARS,1.00,1.00,May 31 2011 12:00AM
2,May 31 2011 12:00AM,USD,AUD,1.55,1.55,May 31 2011 12:00AM
3,May 31 2011 12:00AM,USD,BRL,1.94,1.94,May 31 2011 12:00AM
4,May 31 2011 12:00AM,USD,CAD,1.46,1.47,May 31 2011 12:00AM
5,May 31 2011 12:00AM,USD,CNY,8.28,8.28,May 31 2011 12:00AM
6,May 31 2011 12:00AM,USD,DEM,1.90,1.90,May 31 2011 12:00AM
7,May 31 2011 12:00AM,USD,EUR,0.97,0.97,May 31 2011 12:00AM
8,May 31 2011 12:00AM,USD,FRF,6.36,6.36,May 31 2011 12:00AM
9,May 31 2011 12:00AM,USD,GBP,0.62,0.62,May 31 2011 12:00AM
10,May 31 2011 12:00AM,USD,JPY,104.91,104.96,May 31 2011 12:00AM
11,May 31 2011 12:00AM,USD,MXN,9.37,9.38,May 31 2011 12:00AM
12,May 31 2011 12:00AM,USD,SAR,3.75,3.76,May 31 2011 12:00AM
13,May 31 2011 12:00AM,USD,VEB,634.51,634.60,May 31 2011 12:00AM
14,Jun  1 2011 12:00AM,USD,ARS,1.00,1.00,Jun  1 2011 12:00AM
15,Jun  1 2011 12:00AM,USD,AUD,1.56,1.56,Jun  1 2011 12:00AM
16,Jun  1 2011 12:00AM,USD,BRL,1.93,1.93,Jun  1 2011 12:00AM
17,Jun  1 2011 12:00AM,USD,CAD,1.47,1.46,Jun  1 2011 12:00AM
18,Jun  1 2011 12:00AM,USD,CNY,8.28,8.28,Jun  1 2011 12:00AM
19,Jun  1 2011 12:00AM,USD,DEM,1.89,1.89,Jun  1 2011 12:00AM
20,Jun  1 2011 12:00AM,USD,EUR,0.97,0.97,Jun  1 2011 12:00AM
21,Jun  1 2011 12:00AM,USD,FRF,6.35,6.35,Jun  1 2011 12:00AM
22,Jun  1 2011 12:00AM,USD,GBP,0.62,0.62,Jun  1 2011 12:00AM
23,Jun  1 2011 12:00AM,USD,JPY,105.70,105.67,Jun  1 2011 12:00AM
24,Jun  1 2011 12:00AM,USD,MXN,9.39,9.39,Jun  1 2011 12:00AM
25,Jun  1 2011 12:00AM,USD,SAR,3.75,3.75,Jun  1 2011 12:00AM
26,Jun  1 2011 12:00AM,USD,VEB,634.25,634.24,Jun  1 2011 12:00AM
27,Jun  2 2011 12:00AM,USD,ARS,1.00,1.00,Jun  2 2011 12:00AM
28,Jun  2 2011 12:00AM,USD,AUD,1.56,1.56,Jun  2 2011 12:00AM
29,Jun  2 2011 12:00AM,USD,BRL,1.94,1.94,Jun  2 2011 12:00AM
30,Jun  2 2011 12:00AM,USD,CAD,1.47,1.47,Jun  2 2011 12:00AM
31,Jun  2 2011 12:00AM,USD,CNY,8.28,8.28,Jun  2 2011 12:00AM
32,Jun  2 2011 12:00AM,USD,DEM,1.88,1.88,Jun  2 2011 12:00AM
33,Jun  2 2011 12:00AM,USD,EUR,0.96,0.96,Jun  2 2011 12:00AM
34,Jun  2 2011 12:00AM,USD,FRF,6.30,6.30,Jun  2 2011 12:00AM
35,Jun  2 2011 12:00AM,USD,GBP,0.62,0.62,Jun  2 2011 12:00AM
36,Jun  2 2011 12:00AM,USD,JPY,105.53,105.60,Jun  2 2011 12:00AM
37,Jun  2 2011 12:00AM,USD,MXN,9.36,9.36,Jun  2 2011 12:00AM
38,Jun  2 2011 12:00AM,USD,SAR,3.75,3.76,Jun  2 2011 12:00AM
39,Jun  2 2011 12:00AM,USD,VEB,634.75,634.80,Jun  2 2011 12:00AM
40,Jun  3 2011 12:00AM,USD,ARS,1.00,1.00,Jun  3 2011 12:00AM
41,Jun  3 2011 12:00AM,USD,AUD,1.56,1.56,Jun  3 2011 12:00AM
42,Jun  3 2011 12:00AM,USD,BRL,1.93,1.93,Jun  3 2011 12:00AM
43,Jun  3 2011 12:00AM,USD,CAD,1.47,1.46,Jun  3 2011 12:00AM
44,Jun  3 2011 12:00AM,USD,CNY,8.28,8.28,Jun  3 2011 12:00AM
45,Jun  3 2011 12:00AM,USD,DEM,1.88,1.88,Jun  3 2011 12:00AM
46,Jun  3 2011 12:00AM,USD,EUR,0.96,0.96,Jun  3 2011 12:00AM
47,Jun  3 2011 12:00AM,USD,FRF,6.31,6.31,Jun  3 2011 12:00AM
48,Jun  3 2011 12:00AM,USD,GBP,0.62,0.62,Jun  3 2011 12:00AM
49,Jun  3 2011 12:00AM,USD,JPY,105.77,105.68,Jun  3 2011 12:00AM
50,Jun  3 2011 12:00AM,USD,MXN,9.35,9.34,Jun  3 2011 12:00AM
51,Jun  3 2011 12:00AM,USD,SAR,3.75,3.74,Jun  3 2011 12:00AM
52,Jun  3 2011 12:00AM,USD,VEB,635.75,635.66,Jun  3 2011 12:00AM
53,Jun  4 2011 12:00AM,USD,ARS,1.00,1.00,Jun  4 2011 12:00AM
54,Jun  4 2011 12:00AM,USD,AUD,1.57,1.57,Jun  4 2011 12:00AM
55,Jun  4 2011 12:00AM,USD,BRL,1.93,1.94,Jun  4 2011 12:00AM
56,Jun  4 2011 12:00AM,USD,CAD,1.46,1.47,Jun  4 2011 12:00AM
57,Jun  4 2011 12:00AM,USD,CNY,8.28,8.28,Jun  4 2011 12:00AM
58,Jun  4 2011 12:00AM,USD,DEM,1.90,1.90,Jun  4 2011 12:00AM
59,Jun  4 2011 12:00AM,USD,EUR,0.97,0.97,Jun  4 2011 12:00AM
60,Jun  4 2011 12:00AM,USD,FRF,6.37,6.37,Jun  4 2011 12:00AM
61,Jun  4 2011 12:00AM,USD,GBP,0.62,0.62,Jun  4 2011 12:00AM
