BusinessEntityID,RateChangeDate,Rate,PayFrequency,ModifiedDate
1,Jan 14 2009 12:00AM,125.50,2,Jun 30 2014 12:00AM
2,Jan 31 2008 12:00AM,63.46,2,Jun 30 2014 12:00AM
3,Nov 11 2007 12:00AM,43.27,2,Jun 30 2014 12:00AM
4,Dec  5 2007 12:00AM,8.62,2,Nov 21 2007 12:00AM
4,May 31 2010 12:00AM,23.72,2,May 16 2010 12:00AM
4,Dec 15 2011 12:00AM,29.85,2,Dec  1 2011 12:00AM
5,Jan  6 2008 12:00AM,32.69,2,Jun 30 2014 12:00AM
6,Jan 24 2008 12:00AM,32.69,2,Jun 30 2014 12:00AM
7,Feb  8 2009 12:00AM,50.48,2,Jun 30 2014 12:00AM
8,Dec 29 2008 12:00AM,40.87,2,Jun 30 2014 12:00AM
9,Jan 16 2009 12:00AM,40.87,2,Jun 30 2014 12:00AM
10,May  3 2009 12:00AM,42.48,2,Jun 30 2014 12:00AM
11,Dec  5 2010 12:00AM,28.85,2,Jun 30 2014 12:00AM
12,Dec 11 2007 12:00AM,25.00,2,Jun 30 2014 12:00AM
13,Dec 23 2010 12:00AM,25.00,2,Jun 30 2014 12:00AM
14,Dec 30 2010 12:00AM,36.06,2,Jun 30 2014 12:00AM
15,Jan 18 2011 12:00AM,32.69,2,Jun 30 2014 12:00AM
16,Dec 20 2007 12:00AM,24.00,2,Dec  6 2007 12:00AM
16,Jul 15 2009 12:00AM,28.75,2,Jul  1 2009 12:00AM
16,Apr 30 2012 12:00AM,37.50,2,Apr 16 2012 12:00AM
17,Jan 26 2007 12:00AM,13.46,2,Jun 30 2014 12:00AM
18,Feb  7 2011 12:00AM,14.42,2,Jun 30 2014 12:00AM
19,Feb 14 2011 12:00AM,13.46,2,Jun 30 2014 12:00AM
20,Jan  7 2011 12:00AM,13.46,2,Jun 30 2014 12:00AM
21,Mar  2 2009 12:00AM,14.42,2,Jun 30 2014 12:00AM
22,Dec 12 2008 12:00AM,14.42,2,Jun 30 2014 12:00AM
23,Jan 12 2009 12:00AM,14.42,2,Jun 30 2014 12:00AM
24,Jan 18 2009 12:00AM,14.42,2,Jun 30 2014 12:00AM
25,Feb  3 2009 12:00AM,84.13,2,Jun 30 2014 12:00AM
26,Dec  1 2008 12:00AM,24.52,2,Jun 30 2014 12:00AM
27,Feb 27 2008 12:00AM,25.00,2,Jun 30 2014 12:00AM
28,Jun 30 2006 12:00AM,12.45,1,Jun 30 2014 12:00AM
29,Jan 23 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
30,Jan 29 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
31,Jan  4 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
32,Dec 29 2008 12:00AM,12.45,1,Jun 30 2014 12:00AM
33,Dec 17 2008 12:00AM,12.45,1,Jun 30 2014 12:00AM
34,Feb 16 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
35,Feb  8 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
36,Feb 10 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
37,Mar  7 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
38,Jan 16 2010 12:00AM,12.45,1,Jun 30 2014 12:00AM
39,Feb  5 2010 12:00AM,12.45,1,Jun 30 2014 12:00AM
40,Dec 26 2007 12:00AM,25.00,2,Jun 30 2014 12:00AM
41,Jan 21 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
42,Dec 27 2008 12:00AM,12.45,1,Jun 30 2014 12:00AM
43,Jan  2 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
44,Dec  8 2008 12:00AM,12.45,1,Jun 30 2014 12:00AM
45,Feb 26 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
46,Feb  8 2009 12:00AM,12.45,1,Jun 30 2014 12:00AM
47,Feb 22 2009 12:00AM,25.00,2,Jun 30 2014 12:00AM
48,Jan  6 2008 12:00AM,13.45,1,Jun 30 2014 12:00AM
49,Jan  7 2008 12:00AM,13.45,1,Jun 30 2014 12:00AM
