994|LL Bottom Bracket|LL Bottom Bracket|en    |Chromoly steel.
995|ML Bottom Bracket|ML Bottom Bracket|en    |Aluminum alloy cups; large diameter spindle.
996|HL Bottom Bracket|HL Bottom Bracket|en    |Aluminum alloy cups and a hollow axle.
984|Mountain-500 Silver, 40|Mountain-500|en    |Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.
985|Mountain-500 Silver, 42|Mountain-500|en    |Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.
986|Mountain-500 Silver, 44|Mountain-500|en    |Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.
987|Mountain-500 Silver, 48|Mountain-500|en    |Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.
988|Mountain-500 Silver, 52|Mountain-500|en    |Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.
989|Mountain-500 Black, 40|Mountain-500|en    |Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.
990|Mountain-500 Black, 42|Mountain-500|en    |Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.
991|Mountain-500 Black, 44|Mountain-500|en    |Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.
992|Mountain-500 Black, 48|Mountain-500|en    |Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.
993|Mountain-500 Black, 52|Mountain-500|en    |Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.
980|Mountain-400-W Silver, 38|Mountain-400-W|en    |This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.
981|Mountain-400-W Silver, 40|Mountain-400-W|en    |This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.
982|Mountain-400-W Silver, 42|Mountain-400-W|en    |This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.
983|Mountain-400-W Silver, 46|Mountain-400-W|en    |This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.
785|Mountain-300 Black, 38|Mountain-300|en    |For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
786|Mountain-300 Black, 40|Mountain-300|en    |For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
787|Mountain-300 Black, 44|Mountain-300|en    |For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
788|Mountain-300 Black, 48|Mountain-300|en    |For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
779|Mountain-200 Silver, 38|Mountain-200|en    |Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
780|Mountain-200 Silver, 42|Mountain-200|en    |Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
781|Mountain-200 Silver, 46|Mountain-200|en    |Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
782|Mountain-200 Black, 38|Mountain-200|en    |Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
783|Mountain-200 Black, 42|Mountain-200|en    |Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
784|Mountain-200 Black, 46|Mountain-200|en    |Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
771|Mountain-100 Silver, 38|Mountain-100|en    |Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.
772|Mountain-100 Silver, 42|Mountain-100|en    |Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.
773|Mountain-100 Silver, 44|Mountain-100|en    |Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.
774|Mountain-100 Silver, 48|Mountain-100|en    |Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.
775|Mountain-100 Black, 38|Mountain-100|en    |Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.
776|Mountain-100 Black, 42|Mountain-100|en    |Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.
777|Mountain-100 Black, 44|Mountain-100|en    |Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.
778|Mountain-100 Black, 48|Mountain-100|en    |Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.
977|Road-750 Black, 58|Road-750|en    |Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.
997|Road-750 Black, 44|Road-750|en    |Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.
998|Road-750 Black, 48|Road-750|en    |Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.
999|Road-750 Black, 52|Road-750|en    |Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.
759|Road-650 Red, 58|Road-650|en    |Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.
760|Road-650 Red, 60|Road-650|en    |Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.
761|Road-650 Red, 62|Road-650|en    |Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.
762|Road-650 Red, 44|Road-650|en    |Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.
769|Road-650 Black, 48|Road-650|en    |Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.
770|Road-650 Black, 52|Road-650|en    |Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.
763|Road-650 Red, 48|Road-650|en    |Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.
764|Road-650 Red, 52|Road-650|en    |Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.
765|Road-650 Black, 58|Road-650|en    |Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.
766|Road-650 Black, 60|Road-650|en    |Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.
767|Road-650 Black, 62|Road-650|en    |Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.
