PurchaseOrderID,PurchaseOrderDetailID,DueDate,OrderQty,ProductID,UnitPrice,LineTotal,ReceivedQty,RejectedQty,StockedQty,ModifiedDate
1,1,Apr 30 2011 12:00AM,4,1,50.26,201.04,3.00,0.00,3.00,Apr 23 2011 12:00AM
2,2,Apr 30 2011 12:00AM,3,359,45.12,135.36,3.00,0.00,3.00,Apr 23 2011 12:00AM
2,3,Apr 30 2011 12:00AM,3,360,45.58,136.74,3.00,0.00,3.00,Apr 23 2011 12:00AM
3,4,Apr 30 2011 12:00AM,550,530,16.09,8847.30,550.00,0.00,550.00,Apr 23 2011 12:00AM
4,5,Apr 30 2011 12:00AM,3,4,57.03,171.08,2.00,1.00,1.00,Apr 23 2011 12:00AM
5,6,May 14 2011 12:00AM,550,512,37.09,20397.30,550.00,0.00,550.00,May  7 2011 12:00AM
6,7,May 14 2011 12:00AM,550,513,26.60,14628.08,468.00,0.00,468.00,May  7 2011 12:00AM
7,8,May 14 2011 12:00AM,550,317,27.06,14882.18,550.00,0.00,550.00,May  7 2011 12:00AM
7,9,May 14 2011 12:00AM,550,318,33.58,18468.45,550.00,0.00,550.00,May  7 2011 12:00AM
7,10,May 14 2011 12:00AM,550,319,46.06,25334.93,550.00,0.00,550.00,May  7 2011 12:00AM
8,11,May 14 2011 12:00AM,3,403,47.47,142.41,3.00,0.00,3.00,May  7 2011 12:00AM
8,12,May 14 2011 12:00AM,3,404,45.37,136.11,3.00,0.00,3.00,May  7 2011 12:00AM
8,13,May 14 2011 12:00AM,3,405,49.64,148.93,3.00,0.00,3.00,May  7 2011 12:00AM
8,14,May 14 2011 12:00AM,3,406,45.37,136.11,3.00,0.00,3.00,May  7 2011 12:00AM
8,15,May 14 2011 12:00AM,3,407,43.27,129.81,3.00,0.00,3.00,May  7 2011 12:00AM
9,16,Dec 28 2011 12:00AM,3,422,47.52,142.57,3.00,0.00,3.00,Dec 21 2011 12:00AM
9,17,Dec 28 2011 12:00AM,3,423,45.42,136.27,3.00,0.00,3.00,Dec 21 2011 12:00AM
9,18,Dec 28 2011 12:00AM,3,424,49.70,149.09,3.00,0.00,3.00,Dec 21 2011 12:00AM
9,19,Dec 28 2011 12:00AM,3,425,45.42,136.27,3.00,0.00,3.00,Dec 21 2011 12:00AM
9,20,Dec 28 2011 12:00AM,3,426,43.32,129.97,3.00,0.00,3.00,Dec 21 2011 12:00AM
10,21,Dec 28 2011 12:00AM,3,320,47.47,142.41,3.00,0.00,3.00,Dec 21 2011 12:00AM
10,22,Dec 28 2011 12:00AM,3,321,42.80,128.39,3.00,0.00,3.00,Dec 21 2011 12:00AM
10,23,Dec 28 2011 12:00AM,60,322,25.42,1525.23,60.00,0.00,60.00,Dec 21 2011 12:00AM
11,24,Dec 28 2011 12:00AM,3,438,41.22,123.67,3.00,0.00,3.00,Dec 21 2011 12:00AM
11,25,Dec 28 2011 12:00AM,3,439,45.50,136.49,3.00,0.00,3.00,Dec 21 2011 12:00AM
11,26,Dec 28 2011 12:00AM,3,440,41.22,123.67,3.00,0.00,3.00,Dec 21 2011 12:00AM
11,27,Dec 28 2011 12:00AM,3,441,39.12,117.37,3.00,0.00,3.00,Dec 21 2011 12:00AM
12,28,Dec 28 2011 12:00AM,550,941,62.99,34644.23,550.00,82.00,468.00,Dec 21 2011 12:00AM
13,29,Dec 28 2011 12:00AM,3,320,45.37,136.11,3.00,0.00,3.00,Dec 21 2011 12:00AM
13,30,Dec 28 2011 12:00AM,3,321,40.49,121.46,3.00,0.00,3.00,Dec 21 2011 12:00AM
13,31,Dec 28 2011 12:00AM,60,322,26.37,1581.93,60.00,0.00,60.00,Dec 21 2011 12:00AM
14,32,Dec 28 2011 12:00AM,3,504,48.76,146.29,3.00,3.00,0.00,Dec 21 2011 12:00AM
15,33,Dec 28 2011 12:00AM,3,497,34.19,102.56,3.00,0.00,3.00,Dec 21 2011 12:00AM
16,34,Dec 28 2011 12:00AM,3,323,50.26,150.79,3.00,0.00,3.00,Dec 21 2011 12:00AM
17,35,Dec 29 2011 12:00AM,550,523,10.73,5902.05,550.00,0.00,550.00,Dec 22 2011 12:00AM
17,36,Dec 29 2011 12:00AM,550,524,14.12,7767.38,550.00,0.00,550.00,Dec 22 2011 12:00AM
18,37,Dec 29 2011 12:00AM,60,492,50.26,3015.81,60.00,0.00,60.00,Dec 22 2011 12:00AM
