PurchaseOrderID,RevisionNumber,Status,EmployeeID,VendorID,ShipMethodID,OrderDate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue,ModifiedDate
1,4,4,258,1580,3,Apr 16 2011 12:00AM,Apr 25 2011 12:00AM,201.04,16.08,5.03,222.15,Apr 25 2011 12:00AM
2,4,1,254,1496,5,Apr 16 2011 12:00AM,Apr 25 2011 12:00AM,272.10,21.77,6.80,300.67,Apr 25 2011 12:00AM
3,4,4,257,1494,2,Apr 16 2011 12:00AM,Apr 25 2011 12:00AM,8847.30,707.78,221.18,9776.27,Apr 25 2011 12:00AM
4,4,3,261,1650,5,Apr 16 2011 12:00AM,Apr 25 2011 12:00AM,171.08,13.69,4.28,189.04,Apr 25 2011 12:00AM
5,4,4,251,1654,4,Apr 30 2011 12:00AM,May  9 2011 12:00AM,20397.30,1631.78,509.93,22539.02,May  9 2011 12:00AM
6,4,4,253,1664,3,Apr 30 2011 12:00AM,May  9 2011 12:00AM,14628.08,1170.25,365.70,16164.02,May  9 2011 12:00AM
7,4,4,255,1678,3,Apr 30 2011 12:00AM,May  9 2011 12:00AM,58685.55,4694.84,1467.14,64847.53,May  9 2011 12:00AM
8,4,4,256,1616,5,Apr 30 2011 12:00AM,May  9 2011 12:00AM,693.38,55.47,17.33,766.18,May  9 2011 12:00AM
9,5,4,259,1492,5,Dec 14 2011 12:00AM,Dec 23 2011 12:00AM,694.17,55.53,17.35,767.05,Dec 23 2011 12:00AM
10,4,4,250,1602,5,Dec 14 2011 12:00AM,Dec 23 2011 12:00AM,1796.04,143.68,44.90,1984.62,Dec 23 2011 12:00AM
11,4,4,258,1540,4,Dec 14 2011 12:00AM,Dec 23 2011 12:00AM,501.20,40.10,12.53,553.82,Dec 23 2011 12:00AM
12,4,4,254,1628,5,Dec 14 2011 12:00AM,Dec 23 2011 12:00AM,34644.23,2771.54,866.11,38281.87,Dec 23 2011 12:00AM
13,4,4,257,1604,4,Dec 14 2011 12:00AM,Dec 23 2011 12:00AM,1839.51,147.16,45.99,2032.65,Dec 23 2011 12:00AM
14,4,3,261,1690,5,Dec 14 2011 12:00AM,Dec 23 2011 12:00AM,146.29,11.70,3.66,161.65,Dec 23 2011 12:00AM
15,4,4,251,1566,5,Dec 14 2011 12:00AM,Dec 23 2011 12:00AM,102.56,8.21,2.56,113.33,Dec 23 2011 12:00AM
16,4,4,253,1698,5,Dec 14 2011 12:00AM,Dec 23 2011 12:00AM,150.79,12.06,3.77,166.62,Dec 23 2011 12:00AM
17,4,4,255,1560,5,Dec 15 2011 12:00AM,Dec 24 2011 12:00AM,13669.43,1093.55,341.74,15104.71,Dec 24 2011 12:00AM
18,4,4,256,1692,5,Dec 15 2011 12:00AM,Dec 24 2011 12:00AM,16393.23,1311.46,409.83,18114.52,Dec 24 2011 12:00AM
19,4,4,259,1696,2,Dec 15 2011 12:00AM,Dec 24 2011 12:00AM,79204.13,6336.33,1980.10,87520.56,Dec 24 2011 12:00AM
20,4,4,260,1504,1,Dec 15 2011 12:00AM,Dec 24 2011 12:00AM,551.88,44.15,13.80,609.83,Dec 24 2011 12:00AM
21,4,4,250,1544,1,Dec 15 2011 12:00AM,Dec 24 2011 12:00AM,6987.75,559.02,174.69,7721.46,Dec 24 2011 12:00AM
22,4,4,254,1530,2,Dec 15 2011 12:00AM,Dec 24 2011 12:00AM,28072.28,2245.78,701.81,31019.86,Dec 24 2011 12:00AM
23,4,4,257,1508,1,Dec 15 2011 12:00AM,Dec 24 2011 12:00AM,37312.28,2984.98,932.81,41230.06,Dec 24 2011 12:00AM
24,4,3,261,1694,1,Dec 15 2011 12:00AM,Dec 24 2011 12:00AM,4215.75,337.26,105.39,4658.40,Dec 24 2011 12:00AM
25,4,4,251,1624,2,Dec 15 2011 12:00AM,Dec 24 2011 12:00AM,28297.50,2263.80,707.44,31268.74,Dec 24 2011 12:00AM
26,4,4,253,1548,2,Dec 15 2011 12:00AM,Dec 24 2011 12:00AM,59.94,4.80,1.50,66.24,Dec 24 2011 12:00AM
27,4,4,255,1598,4,Dec 15 2011 12:00AM,Dec 24 2011 12:00AM,722.61,57.81,18.07,798.48,Dec 24 2011 12:00AM
28,4,4,256,1658,5,Dec 15 2011 12:00AM,Dec 24 2011 12:00AM,43878.45,3510.28,1096.96,48485.69,Dec 24 2011 12:00AM
29,4,4,259,1536,4,Jan  8 2012 12:00AM,Jan 17 2012 12:00AM,592.80,47.42,14.82,655.04,Jan 17 2012 12:00AM
30,4,4,260,1568,2,Jan  8 2012 12:00AM,Jan 17 2012 12:00AM,21252.00,1700.16,531.30,23483.46,Jan 17 2012 12:00AM
31,4,4,258,1648,5,Jan  8 2012 12:00AM,Jan 17 2012 12:00AM,142.41,11.39,3.56,157.36,Jan 17 2012 12:00AM
32,6,4,254,1646,2,Jan  8 2012 12:00AM,Jan 17 2012 12:00AM,28794.15,2303.53,719.85,31817.54,Jan 17 2012 12:00AM
33,4,4,257,1672,4,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,421.16,33.69,10.53,465.38,Jan 25 2012 12:00AM
34,4,3,261,1600,1,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,1276.28,102.10,31.91,1410.28,Jan 25 2012 12:00AM
35,4,4,251,1522,1,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,2003.93,160.31,50.10,2214.34,Jan 25 2012 12:00AM
36,4,4,253,1570,2,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,50860.43,4068.83,1271.51,56200.77,Jan 25 2012 12:00AM
37,4,4,255,1516,1,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,454.86,36.39,11.37,502.62,Jan 25 2012 12:00AM
38,6,4,256,1506,5,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,43878.45,3510.28,1096.96,48485.69,Jan 25 2012 12:00AM
39,4,4,252,1626,2,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,7132.13,570.57,178.30,7881.00,Jan 25 2012 12:00AM
40,4,4,260,1542,2,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,28343.70,2267.50,708.59,31319.79,Jan 25 2012 12:00AM
41,4,4,258,1610,4,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,22516.73,1801.34,562.92,24880.98,Jan 25 2012 12:00AM
42,5,4,254,1638,5,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,34644.23,2771.54,866.11,38281.87,Jan 25 2012 12:00AM
43,4,4,257,1582,5,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,427.93,34.23,10.70,472.86,Jan 25 2012 12:00AM
44,4,3,261,1510,5,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,143.04,11.44,3.58,158.06,Jan 25 2012 12:00AM
45,4,4,250,1526,2,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,28199.33,2255.95,704.98,31160.25,Jan 25 2012 12:00AM
46,4,4,253,1644,1,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,3713.33,297.07,92.83,4103.22,Jan 25 2012 12:00AM
47,4,4,255,1680,5,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,63831.08,5106.49,1595.78,70533.34,Jan 25 2012 12:00AM
48,4,4,256,1584,5,Jan 16 2012 12:00AM,Jan 25 2012 12:00AM,16340.31,1307.22,408.51,18056.04,Jan 25 2012 12:00AM
49,4,4,259,1620,5,Jan 20 2012 12:00AM,Jan 29 2012 12:00AM,5711.48,456.92,142.79,6311.18,Jan 29 2012 12:00AM
50,5,4,260,1666,5,Jan 20 2012 12:00AM,Jan 29 2012 12:00AM,429.35,34.35,10.73,474.43,Jan 29 2012 12:00AM
51,4,4,258,1592,2,Jan 20 2012 12:00AM,Jan 29 2012 12:00AM,97.97,7.84,2.45,108.25,Jan 29 2012 12:00AM
52,4,4,254,1618,4,Jan 20 2012 12:00AM,Jan 29 2012 12:00AM,114.47,9.16,2.86,126.49,Jan 29 2012 12:00AM
53,4,4,252,1612,4,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,132.65,10.61,3.32,146.57,Feb  2 2012 12:00AM
54,6,3,261,1586,5,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,43878.45,3510.28,1096.96,48485.69,Feb  2 2012 12:00AM
55,4,4,251,1500,1,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,418.95,33.52,10.47,462.94,Feb  2 2012 12:00AM
56,4,4,253,1656,4,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,525.77,42.06,13.14,580.97,Feb  2 2012 12:00AM
57,4,4,255,1572,1,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,461.79,36.94,11.54,510.28,Feb  2 2012 12:00AM
58,4,4,256,1562,4,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,630.38,50.43,15.76,696.57,Feb  2 2012 12:00AM
59,9,4,259,1662,2,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,37.08,2.97,0.93,40.97,Feb  2 2012 12:00AM
60,4,4,260,1682,4,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,21558.08,1724.65,538.95,23821.67,Feb  2 2012 12:00AM
61,4,4,258,1686,4,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,507.09,40.57,12.68,560.33,Feb  2 2012 12:00AM
62,4,4,254,1684,5,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,41048.70,3283.90,1026.22,45358.81,Feb  2 2012 12:00AM
63,4,4,257,1534,5,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,429.35,34.35,10.73,474.43,Feb  2 2012 12:00AM
64,5,3,261,1614,5,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,279.15,22.33,6.98,308.46,Feb  2 2012 12:00AM
65,4,4,251,1588,5,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,40471.20,3237.70,1011.78,44720.68,Feb  2 2012 12:00AM
66,5,4,253,1622,5,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,563.57,45.09,14.09,622.74,Feb  2 2012 12:00AM
67,4,4,255,1632,5,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,62092.80,4967.42,1552.32,68612.54,Feb  2 2012 12:00AM
68,5,4,256,1608,5,Jan 24 2012 12:00AM,Feb  2 2012 12:00AM,5948.25,475.86,148.71,6572.82,Feb  2 2012 12:00AM
69,4,4,259,1576,5,Jan 25 2012 12:00AM,Feb  3 2012 12:00AM,91117.95,7289.44,2277.95,100685.33,Feb  3 2012 12:00AM
